Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 54.33      5.02     5.02  1418840     0.00     0.00  void VlWorkerThread::dequeWork<true>(VlWorkerThread::ExecRec*)
  9.96      5.94     0.92    35282     0.00     0.00  Vtop___024root____Vthread__nba__5(void*, bool)
  4.44      6.35     0.41    70867     0.00     0.00  Vtop___024root____Vthread__nba__1(void*, bool)
  3.90      6.71     0.36   125644     0.00     0.00  Vtop___024root____Vthread__nba__4(void*, bool)
  3.68      7.05     0.34    75560     0.00     0.00  Vtop___024root____Vthread__nba__0(void*, bool)
  3.46      7.37     0.32    70388     0.00     0.00  Vtop___024root____Vthread__nba__2(void*, bool)
  2.49      7.60     0.23   260687     0.00     0.00  Vtop___024root___nba_sequent__TOP__22(Vtop___024root*)
  2.38      7.82     0.22    84956     0.00     0.00  Vtop___024root____Vthread__nba__3(void*, bool)
  1.73      7.98     0.16   111395     0.00     0.00  Vtop___024root___nba_sequent__TOP__3(Vtop___024root*)
  1.52      8.12     0.14   274296     0.00     0.00  Vtop___024root___nba_sequent__TOP__15(Vtop___024root*)
  1.19      8.23     0.11   264203     0.00     0.00  Vtop___024root___nba_sequent__TOP__21(Vtop___024root*)
  1.19      8.34     0.11   241765     0.00     0.00  Vtop___024root___nba_sequent__TOP__16(Vtop___024root*)
  1.19      8.45     0.11   141274     0.00     0.00  Vtop___024root___nba_sequent__TOP__6(Vtop___024root*)
  1.08      8.55     0.10   198637     0.00     0.00  Vtop___024root___nba_sequent__TOP__5(Vtop___024root*)
  0.97      8.64     0.09   280834     0.00     0.00  Vtop___024root___nba_sequent__TOP__11(Vtop___024root*)
  0.65      8.70     0.06   323998     0.00     0.00  Vtop___024root___nba_sequent__TOP__18(Vtop___024root*)
  0.54      8.75     0.05   270837     0.00     0.00  Vtop___024root___nba_sequent__TOP__12(Vtop___024root*)
  0.54      8.80     0.05   230750     0.00     0.00  Vtop___024root___nba_sequent__TOP__2(Vtop___024root*)
  0.43      8.84     0.04   313495     0.00     0.00  Vtop___024root___nba_sequent__TOP__10(Vtop___024root*)
  0.43      8.88     0.04   217396     0.00     0.00  Vtop___024root___nba_sequent__TOP__19(Vtop___024root*)
  0.43      8.92     0.04   212565     0.00     0.00  Vtop___024root___nba_sequent__TOP__13(Vtop___024root*)
  0.43      8.96     0.04   130413     0.00     0.00  Vtop___024root___nba_sequent__TOP__4(Vtop___024root*)
  0.43      9.00     0.04   128720     0.00     0.00  Vtop___024root___nba_sequent__TOP__9(Vtop___024root*)
  0.43      9.04     0.04   117355     0.00     0.00  Vtop___024root___nba_sequent__TOP__7(Vtop___024root*)
  0.32      9.07     0.03   293277     0.00     0.00  Vtop___024root___nba_sequent__TOP__17(Vtop___024root*)
  0.32      9.10     0.03   270510     0.00     0.00  Vtop___024root___nba_sequent__TOP__14(Vtop___024root*)
  0.32      9.13     0.03   268149     0.00     0.00  Vtop___024root___nba_sequent__TOP__20(Vtop___024root*)
  0.32      9.16     0.03   175269     0.00     0.00  Vtop___024root___nba_sequent__TOP__8(Vtop___024root*)
  0.32      9.19     0.03    64434     0.00     0.00  Vtop___024root___nba_sequent__TOP__1(Vtop___024root*)
  0.22      9.21     0.02  1371173     0.00     0.00  VerilatedMutex::lock()
  0.22      9.23     0.02   393772     0.00     0.00  Vtop___024root___eval_nba(Vtop___024root*)
  0.11      9.24     0.01                             _init
  0.00      9.24     0.00  2402815     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      9.24     0.00  2226079     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      9.24     0.00  1575056     0.00     0.00  Vtop___024root___eval_triggers__ico(Vtop___024root*)
  0.00      9.24     0.00  1569722     0.00     0.00  Vtop___024root___eval_triggers__act(Vtop___024root*)
  0.00      9.24     0.00  1315196     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [clone .constprop.0]
  0.00      9.24     0.00  1224375     0.00     0.00  VerilatedLockGuard::~VerilatedLockGuard()
  0.00      9.24     0.00   960059     0.00     0.00  VlWorkerThread::ExecRec& std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::emplace_back<void (*&)(void*, bool), void*&, bool&>(void (*&)(void*, bool), void*&, bool&)
  0.00      9.24     0.00   787522     0.00     0.00  Vtop___024root___ico_sequent__TOP__0(Vtop___024root*)
  0.00      9.24     0.00   787521     0.00     0.00  Vtop___024root___eval(Vtop___024root*)
  0.00      9.24     0.00   787521     0.00     0.00  Vtop___024root___eval_ico(Vtop___024root*)
  0.00      9.24     0.00   787499     0.00     0.00  VlDeleter::deleteAll()
  0.00      9.24     0.00   787497     0.00     0.00  Vtop::eval_step()
  0.00      9.24     0.00   786461     0.00     0.00  VerilatedEvalMsgQueue::process()
  0.00      9.24     0.00   785674     0.00     0.00  Verilated::endOfEval(VerilatedEvalMsgQueue*)
  0.00      9.24     0.00   526301     0.00     0.00  std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::_M_erase(__gnu_cxx::__normal_iterator<VlWorkerThread::ExecRec*, std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> > >)
  0.00      9.24     0.00   393700     0.00     0.00  single_cycle()
  0.00      9.24     0.00   393694     0.00     0.00  getRTC_val()
  0.00      9.24     0.00   393667     0.00     0.00  device_update()
  0.00      9.24     0.00   393612     0.00     0.00  trace_diff_watch()
  0.00      9.24     0.00   393602     0.00     0.00  halt()
  0.00      9.24     0.00   393508     0.00     0.00  Vtop___024root____Vdpiexp_top__DOT__U_YSYX_22041752_0__DOT__u_dpi_c__DOT__record_TOP(Vtop__Syms*, unsigned char&, unsigned char&, unsigned char&, unsigned char&, unsigned long&, unsigned long&, unsigned long&, unsigned long&, unsigned int&)
  0.00      9.24     0.00   393367     0.00     0.00  Vtop::record(unsigned char*, unsigned char*, unsigned char*, unsigned char*, long long*, long long*, long long*, long long*, int*)
  0.00      9.24     0.00   393197     0.00     0.00  record
  0.00      9.24     0.00   362689     0.00     0.00  vaddr_ifetch(unsigned long, unsigned char)
  0.00      9.24     0.00   331010     0.00     0.00  Vtop___024root___nba_sequent__TOP__23(Vtop___024root*)
  0.00      9.24     0.00   260222     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [clone .constprop.0]
  0.00      9.24     0.00   156326     0.00     0.00  VerilatedCovImp::valueIndex(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      9.24     0.00    91150     0.00     0.00  VerilatedImp::userInsert(void const*, void*, void*)
  0.00      9.24     0.00    86496     0.00     0.00  Vtop___024root____Vdpiexp_top__DOT__U_YSYX_22041752_0__DOT__u_dpi_c__DOT__mem_inst_TOP(Vtop__Syms*, unsigned long&, unsigned int&)
  0.00      9.24     0.00    86496     0.00     0.00  Vtop::mem_inst(long long*, int*)
  0.00      9.24     0.00    86496     0.00     0.00  mem_inst
  0.00      9.24     0.00    85311     0.00     0.00  Vtop___024root___nba_sequent__TOP__0(Vtop___024root*)
  0.00      9.24     0.00    50335     0.00     0.00  vaddr_read(unsigned long)
  0.00      9.24     0.00    38961     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > vlCovCvtToStr<int>(int const&)
  0.00      9.24     0.00    38961     0.00     0.00  VerilatedContext::coveragep()
  0.00      9.24     0.00    36161     0.00     0.00  vaddr_write(unsigned long, unsigned long, unsigned char)
  0.00      9.24     0.00    13498     0.00     0.00  VerilatedVcdFile::write(char const*, long)
  0.00      9.24     0.00    12987     0.00     0.00  Vtop___024root::__vlCoverInsert(std::atomic<unsigned int>*, bool, char const*, int, int, char const*, char const*, char const*, char const*)
  0.00      9.24     0.00    12987     0.00     0.00  VerilatedCovImp::inserti(VerilatedCovImpItem*)
  0.00      9.24     0.00    12987     0.00     0.00  VerilatedCovImp::insertp(char const**, char const**)
  0.00      9.24     0.00    12987     0.00     0.00  VerilatedCovContext::_insertf(char const*, int)
  0.00      9.24     0.00    12987     0.00     0.00  VerilatedCovContext::_inserti(unsigned int*)
  0.00      9.24     0.00    12987     0.00     0.00  VerilatedCovContext::_insertp(char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*, char const*)
